record,policy,det_hits,det_total,detection_rate,energy_mAh
100,Always-On,33,33,100.0,7.520833333333333
100,Heuristic,15,33,45.45454545454545,1.4777777777777779
100,RL-Fixed,32,33,96.96969696969697,7.113888888888889
101,Always-On,3,3,100.0,7.520833333333333
101,Heuristic,1,3,33.33333333333333,1.2833333333333334
101,RL-Fixed,3,3,100.0,7.083333333333333
102,Always-On,349,349,100.0,7.520833333333333
102,Heuristic,346,349,99.14040114613181,7.240277777777778
102,RL-Fixed,331,349,94.84240687679083,7.177777777777778
103,Always-On,2,2,100.0,7.520833333333333
103,Heuristic,0,2,0.0,1.2638888888888888
103,RL-Fixed,2,2,100.0,7.084722222222222
104,Always-On,353,353,100.0,7.520833333333333
104,Heuristic,343,353,97.16713881019831,7.155555555555556
104,RL-Fixed,335,353,94.90084985835693,7.188888888888889
105,Always-On,40,40,100.0,7.520833333333333
105,Heuristic,14,40,35.0,1.4583333333333333
105,RL-Fixed,40,40,100.0,7.131944444444445
106,Always-On,186,186,100.0,7.520833333333333
106,Heuristic,175,186,94.08602150537635,4.218055555555556
106,RL-Fixed,178,186,95.6989247311828,7.141666666666667
107,Always-On,361,361,100.0,7.520833333333333
107,Heuristic,361,361,100.0,7.520833333333333
107,RL-Fixed,343,361,95.01385041551247,7.190277777777778
108,Always-On,21,21,100.0,7.520833333333333
108,Heuristic,4,21,19.047619047619047,1.3027777777777778
108,RL-Fixed,18,21,85.71428571428571,7.0777777777777775
109,Always-On,361,361,100.0,7.520833333333333
109,Heuristic,361,361,100.0,7.520833333333333
109,RL-Fixed,343,361,95.01385041551247,7.190277777777778
111,Always-On,361,361,100.0,7.520833333333333
111,Heuristic,361,361,100.0,7.520833333333333
111,RL-Fixed,343,361,95.01385041551247,7.190277777777778
112,Always-On,2,2,100.0,7.520833333333333
112,Heuristic,0,2,0.0,1.2638888888888888
112,RL-Fixed,2,2,100.0,7.0875
113,Always-On,6,6,100.0,7.520833333333333
113,Heuristic,2,6,33.33333333333333,1.2833333333333334
113,RL-Fixed,6,6,100.0,7.0875
114,Always-On,51,51,100.0,7.520833333333333
114,Heuristic,23,51,45.09803921568628,1.575
114,RL-Fixed,50,51,98.0392156862745,7.093055555555556
115,Always-On,0,0,0.0,7.520833333333333
115,Heuristic,0,0,0.0,1.2638888888888888
115,RL-Fixed,0,0,0.0,7.084722222222222
116,Always-On,100,100,100.0,7.520833333333333
116,Heuristic,47,100,47.0,1.8152777777777778
116,RL-Fixed,96,100,96.0,7.1125
117,Always-On,1,1,100.0,7.520833333333333
117,Heuristic,1,1,100.0,1.2833333333333334
117,RL-Fixed,1,1,100.0,7.084722222222222
118,Always-On,361,361,100.0,7.520833333333333
