battery,t_bucket,arr,bp,fever,action,q
10,0,0,0,0,4,176.1430822162423
9,1,0,0,0,5,215.68209807192443
9,2,0,0,0,3,219.33582897035078
9,3,0,1,0,6,236.2342121498935
9,4,1,0,0,4,233.7460463250829
9,5,0,0,0,3,219.35473068051513
9,6,0,0,0,1,223.12767687435698
9,7,0,0,0,1,221.46021160868946
9,8,0,0,1,1,236.59077929290675
9,9,0,0,0,0,219.208447239122
9,10,0,0,0,1,223.56555330167663
9,11,0,0,0,1,218.1229480017844
9,12,0,0,1,4,234.79491261926339
9,13,0,0,1,0,228.05952291717483
9,14,0,0,1,4,230.07256260516272
9,15,1,0,1,7,268.12184131177764
9,16,0,1,0,1,234.45396483573205
9,17,0,1,0,1,234.10017050948466
9,18,0,1,0,1,231.99591683002336
9,19,0,1,0,6,235.50753774675738
9,20,0,0,0,6,221.94614122444958
9,21,0,0,0,2,218.71811696113775
9,22,0,1,0,7,248.31174713884946
9,23,0,1,1,5,247.7145511551989
9,24,0,1,0,6,234.36405029841237
9,25,0,1,0,5,233.05398336699557
9,26,1,1,0,7,250.54073384119351
9,27,0,0,0,6,218.47832100219128
9,28,0,1,0,2,234.41262985395653
9,29,0,0,0,4,215.55875212926023
9,30,1,0,0,3,235.04510719499163
9,31,1,1,1,4,265.0480561733469
9,32,0,1,1,6,245.65599011177886
9,33,1,0,1,3,243.85797305258185
9,34,1,1,0,0,241.73345594172025
9,35,1,1,0,1,246.56592648270274
9,36,1,1,0,0,242.5948634000458
9,37,1,1,0,7,266.5262397265979
9,38,1,0,1,1,243.23453871724269
9,39,1,0,0,4,228.2447742582483
9,40,0,0,0,4,218.5476411533141
9,41,0,0,0,2,222.2313573566929
9,42,0,0,0,1,218.54524696528645
9,43,0,0,0,2,217.77219995584218
9,44,0,0,0,5,219.07354287924062
9,45,0,0,0,7,229.36517336783672
9,46,1,0,0,1,230.9930827134162
9,47,1,0,0,6,231.44956896537627
9,48,0,1,0,0,227.77371819297514
9,49,0,1,0,6,235.60142696577626
9,50,0,0,0,7,232.1566770531964
9,51,0,0,0,3,214.16206344193907
9,52,0,0,1,2,232.20983049537935
9,53,0,0,1,7,244.5557910810582
9,54,0,1,0,5,229.30193693230797
9,55,0,1,1,3,246.47728324388248
9,56,0,0,0,3,217.3358878596855
9,57,0,0,0,3,217.85393739583367
9,58,0,1,0,0,232.4066178536915
9,59,0,1,0,5,234.30374935366225
9,0,1,1,0,5,247.94731585478817
9,1,0,1,0,5,236.28534368453015
9,2,0,1,0,4,233.8327898762766
9,3,0,1,0,2,237.13742771811667
9,4,0,0,0,4,221.02039670987045
9,5,0,0,0,7,222.52068718434202
9,6,1,0,0,2,232.93254816751718
9,7,1,1,0,7,248.5452474321006
9,8,0,1,1,2,248.97629949231597
9,9,0,0,1,1,234.11682270881687
9,10,0,0,0,2,222.7150961930625
9,11,0,0,0,2,219.94738774877766
9,12,0,0,0,2,217.961204474239
9,13,0,1,0,4,235.07532377801778
9,14,0,1,0,1,231.45094711927726
9,15,0,1,0,5,238.0700808775778
9,16,0,1,0,6,235.5871341832403
9,17,0,0,0,4,221.3732055290167
9,18,0,0,0,0,216.73547476317552
9,19,0,0,0,6,221.43827615253355
9,20,0,1,0,2,234.36449687238593
9,21,0,1,0,6,231.8047981209591
9,22,0,1,0,4,234.03087717965826
9,23,1,1,0,2,248.43085289189497
