battery,t_bucket,arr,bp,fever,action,q
10,0,0,0,0,6,139.62084096670608
9,1,0,1,0,7,261.9704101289478
9,2,0,1,0,4,243.895464335819
9,3,1,1,0,4,259.19683285901556
9,4,1,1,0,6,257.9027830884869
9,5,0,1,0,3,250.29262325826437
9,6,0,0,0,6,235.10072811969508
9,7,0,1,0,2,244.44543733530878
9,8,0,0,0,4,228.476378687223
9,9,1,0,0,6,245.61026676066714
9,10,0,0,0,0,228.72649936491302
9,11,0,0,0,0,227.77898465932762
9,12,0,0,0,6,231.30177153738688
9,13,0,0,0,7,244.09090767199558
9,14,0,0,0,0,229.89834592231315
9,15,0,0,0,3,238.54876895168513
9,16,0,1,0,6,245.16494281805575
9,17,0,1,0,3,248.05933191769012
9,18,0,0,0,4,234.47725050807315
9,19,1,0,0,0,241.84289894803072
9,20,1,0,0,2,244.7235645879897
9,21,1,0,0,6,249.39518020371182
9,22,0,1,0,0,240.26487718318563
9,23,0,1,0,4,244.83482517373932
9,24,0,1,0,2,244.69738849325842
9,25,0,1,0,2,246.9401762297381
9,26,0,0,0,4,227.53132300806433
9,27,0,0,0,4,227.49625103672707
9,28,0,0,0,4,230.37190746661562
9,29,1,0,0,6,245.00768537357735
9,30,1,1,0,1,254.74872563545767
9,31,1,1,1,0,269.908111021939
9,32,1,1,1,1,270.33854155435915
9,33,1,1,0,0,257.19442544285266
9,34,1,1,0,3,259.53768408758526
9,35,1,0,1,3,256.8531266016732
9,36,1,1,0,2,258.95388520606025
9,37,1,1,0,1,256.5715175829869
9,38,1,1,1,0,271.6395412964534
9,39,1,1,1,0,269.12403117160414
9,40,1,1,1,4,270.47039569127793
9,41,0,1,1,4,256.0059425994828
9,42,1,1,1,6,275.4424304848226
9,43,0,0,1,7,239.09181195262195
9,44,1,0,0,1,244.87944466115408
9,45,1,0,0,7,259.9949958604418
9,46,1,0,0,5,241.6446782800414
9,47,0,0,0,1,230.14599846369492
9,48,0,0,0,6,233.45405395585797
9,49,1,0,0,4,241.6635992058209
9,50,0,0,0,5,229.73754173193151
9,51,0,0,0,0,223.02885237506496
9,52,0,0,0,0,225.74504063716472
9,53,0,0,0,3,231.01337887872563
9,54,0,1,0,7,259.39235689945116
