battery,t_bucket,arr,bp,fever,action,q
10,0,0,0,0,0,1,247.34415962282822
10,1,0,1,1,0,1,267.0664334593258
10,2,0,1,0,0,5,260.44608172332335
10,3,1,1,0,0,6,282.3437725213726
10,4,1,0,0,1,6,264.94490758720355
10,5,0,1,0,1,0,254.24309090630936
10,6,0,0,0,0,6,250.06460152354308
10,7,0,1,0,0,6,267.9583549607722
10,8,0,0,1,0,0,263.3158770977863
10,9,1,1,0,0,1,264.45214672364534
10,10,0,0,0,1,0,255.8816429192934
10,11,1,0,0,0,1,260.18437631891993
10,12,0,1,1,1,3,288.7120561236971
10,13,0,0,0,0,2,251.1685138072939
10,14,0,0,0,0,4,251.63541509667036
10,15,1,0,0,0,7,269.1851398477627
10,16,0,1,0,1,6,270.18586789977564
10,17,0,1,0,0,1,248.97224661717146
10,18,0,0,0,0,7,247.44828916841877
10,19,1,0,0,0,3,249.34336520392193
10,20,0,0,0,1,7,245.43516488852816
10,21,0,0,0,0,4,248.13546707712607
10,22,0,1,0,0,1,253.96647443550083
10,23,0,1,1,0,7,284.9439810922895
10,24,0,1,0,0,5,261.49633896883296
10,25,0,1,1,0,3,287.6178874483244
10,26,1,0,0,0,4,270.387984396366
10,27,0,0,0,1,7,253.4808663400827
10,28,0,1,0,0,7,267.92146399919307
10,29,1,0,0,0,5,265.2871385429669
10,30,1,1,0,1,5,293.071988757768
10,31,1,1,1,1,5,297.60363014162317
10,32,0,1,1,1,7,289.2003912842171
10,33,1,0,0,0,6,274.12227796753086
10,34,1,1,0,1,1,257.671549839007
10,35,0,0,1,1,4,256.24102556602554
10,36,0,1,0,0,1,255.54283588073164
10,37,0,1,0,0,2,265.0006844514688
10,38,1,0,1,0,1,269.37365025254894
10,39,0,1,0,1,6,268.6490411682329
10,40,0,0,1,0,3,262.80408886048815
10,41,0,0,0,0,7,253.7981015411175
10,42,1,0,0,0,1,256.493025830761
10,43,0,0,0,1,6,252.86142456618703
10,44,1,0,0,0,0,250.63055545422256
10,45,0,1,0,1,4,253.75200884647737
10,46,1,0,0,0,7,265.6578558022163
10,47,0,1,0,1,0,257.11291370146154
10,48,0,1,0,0,6,259.3678731167079
10,49,1,0,1,0,4,264.8861822318375
10,50,0,0,0,1,0,250.76723808401252
10,51,0,0,0,0,7,249.44108049828543
10,52,1,0,1,0,2,257.53106930950895
10,53,0,0,0,1,6,259.035670318811
10,54,0,1,0,0,4,255.0339911892926
10,55,0,0,1,0,4,259.55853472570783
10,56,1,0,0,0,4,269.84916070700245
10,57,1,0,0,1,1,258.97073861216467
10,58,1,1,0,1,7,283.9305896679247
10,59,1,1,0,1,4,269.0292042580555
10,0,1,0,0,1,4,263.2841856357103
10,1,0,1,0,1,6,266.0362323066165
10,2,0,1,0,0,3,276.10232972301327
10,3,0,0,0,0,4,257.7162723408012
10,4,0,0,1,0,0,261.904021125739
10,5,0,0,0,0,4,248.47492572856223
10,6,1,0,0,0,4,272.29360198369824
10,7,0,1,0,1,4,259.56130690733147
10,8,0,1,1,0,7,282.36189751070435
10,9,0,0,0,0,5,250.65506298166025
10,10,0,0,0,0,4,249.66678105173494
10,11,1,0,0,0,3,260.0380407465541
10,12,1,0,1,1,0,267.1789126746188
10,13,1,1,0,1,0,248.0458272591192
10,14,0,0,1,1,5,266.0598853305043
10,15,0,0,0,0,3,248.41182410323205
10,16,0,0,0,0,2,250.87447698443867
10,17,0,0,0,0,3,246.5889140648388
10,19,1,0,1,0,1,268.29193329478466
10,20,0,1,1,1,5,273.2480821009448
10,21,0,1,0,0,2,265.5158592183199
10,22,0,1,0,0,7,264.4166432518102
10,23,1,0,0,0,3,260.22161528135814
10,24,1,1,0,1,2,280.006190456919
10,25,0,1,0,1,6,266.14495691582766
10,26,1,1,0,0,6,286.24077302119457
10,27,0,1,0,1,7,261.89875811802125
10,28,0,0,0,0,7,252.16792432385358
10,29,0,0,0,0,2,258.19005860447515
10,30,1,1,0,0,6,279.55296014665424
10,31,1,1,1,1,1,283.88777408499976
10,32,1,0,1,1,3,279.8462177758644
10,33,1,0,0,1,2,262.14474845578206
10,34,1,0,1,1,3,273.2964522072224
10,35,1,0,0,1,2,254.30366136824816
10,36,0,0,0,1,7,253.81491142547657
10,37,0,0,0,0,4,251.43018091303145
10,38,0,0,0,0,1,251.30991567778744
10,39,1,1,1,0,4,277.5085764226319
10,40,1,0,0,1,5,265.7652566057997
10,41,1,0,1,1,2,265.48956087096525
10,42,0,1,1,1,4,249.6986223410185
10,43,0,0,0,0,2,248.80213325795486
